Campaign;Account;Campaign ID;Impr.;Clicks;CTR;Avg. CPM;Avg. CPC;TrueView views;TrueView avg. CPV;Cost_Original;Conversions;Conv. rate;Cost / conv.;Cost;YouTube_Ad_Formats;Target_Countries;Number_of_Countries;Has_Demographics;Demographics_Segments_Count;Demographics_Label;Has_Interests;Interest_Segments_Count;Interests_Label;Start_Date;End_Date;Peak_Reach;Active_Quarters;Cost_Original_Global;Campaign bid strategy type;Target;Brand;Ad_Format;Date_Range;Bid_Strategy_Short;Goal;Standardized_Campaign_Name
Zott Jogobella Sept - Oct 2025 (YT) - TrueView - CPV;Zott EUR;23005394785;1,287,857;608;0.05%;2.33;4.93;685,678;0.0;3000.39;0;0.00%;0.0;3000.39;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;11;Available;9 Sept 2025;31 Oct 2025;312541;Q3, Q4;3000.39;Target CPV;65+ | All;Zott;YouTube In-Stream;Sep-Oct 25;tCPV;Consideration;Zott | YouTube In-Stream | 65+ | All | Sep-Oct 25 | tCPV | Consideration
Zott Jogobella May - Jun 2025 (YT) - TrueView - CPV;Zott EUR;22503681316;1,235,102;316;0.03%;2.02;7.91;602,680;0.0;2500.18;0;0.00%;0.0;2500.18;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;11;Available;1 May 2025;30 Jun 2025;408829;Q2;2500.18;Target CPV;65+ | All;Zott;YouTube In-Stream;May-Jun 25;tCPV;Consideration;Zott | YouTube In-Stream | 65+ | All | May-Jun 25 | tCPV | Consideration
Zott Hungry May - Jul 2025 (YT) - Reach Mix;Zott EUR;22588201807;5,006,862;6,305;0.13%;1.6;1.27;494,858;0.01;7996.09;0;0.00%;0.0;7996.09;Bumper, In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;12;Available;21 May 2025;20 Jul 2025;1016162;Q2, Q3;7996.09;Target CPM;65+ | All;Zott;YouTube In-Stream;May-Jul 25;tCPM;Awareness;Zott | YouTube In-Stream | 65+ | All | May-Jul 25 | tCPM | Awareness
PMAX_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_PMAX_20.10.-31.12.2025.;Philips Hrvatska EUR;23172997174;90,148;3,174;3.52%;7.74;0.22;16,406;0.01;697.57;336.62;1.32%;2.07;697.57;Non-YouTube Format;Croatia;1;False;0;Automatic / PMax;False;0;Automatic / PMax;22 Oct 2025;31 Dec 2025;0;Q4;697.57;Maximise Conversions;Auto | All;Philips;PMax;Oct-Dec 25;MaxConv;Action;Philips | PMax | Auto | All | Oct-Dec 25 | MaxConv | Action
McDonald's Zapošljavanje Zabok Aug - Sep 2025 (Perfomance Max) - CPA;McDonald's EUR;22915596195;200,715;2,496;1.24%;5.96;0.48;5,913;0.03;1195.75;63.45;0.49%;18.85;1195.75;Non-YouTube Format;Croatia;1;False;0;Automatic / PMax;False;0;Automatic / PMax;21 Aug 2025;4 Sept 2025;0;Q3;1195.75;Maximise Conversions;Auto | All;McDonald's;Other;Aug-Sep 25;MaxConv;Action;McDonald's | Other | Auto | All | Aug-Sep 25 | MaxConv | Action
VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.;Philips Hrvatska EUR;22519829013;1,601,172;1,341;0.08%;0.93;1.11;33,379;0.01;1486.94;88.09;0.18%;16.88;1486.94;Bumper, In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;7 May 2025;15 Jun 2025;481900;Q2;1486.94;Target CPM;65+ | All;Philips;YouTube In-Stream;May-Jun 25;tCPM;Awareness;Philips | YouTube In-Stream | 65+ | All | May-Jun 25 | tCPM | Awareness
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper;McDonald's EUR;23151658453;904,139;747;0.08%;1.33;1.6;6,060;0.03;1198.34;32.13;0.41%;37.29;1198.34;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;17 Oct 2025;26 Oct 2025;643600;Q4;1198.34;Target CPM;65+ | All;McDonald's;YouTube Bumper;Oct 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Oct 25 | tCPM | Awareness
McDonald's Maestro IV Sep - Oct 2025 (YT) - CPV;McDonald's EUR;22982571265;1,074,920;1,041;0.10%;3.26;3.36;737,518;0.0;3500.2;424.21;0.05%;8.25;3500.2;Skippable in-stream;Croatia;1;True;21;Available;True;20;Available;8 Sept 2025;26 Oct 2025;332113;Q3, Q4;3500.2;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Sep-Oct 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Sep-Oct 25 | tCPV | Consideration
lactogyn_june_2025_youtube_cpm;JGL Croatia EUR;22797176144;109;0;0.00%;1.03;0.0;4;0.03;0.11;0;0.00%;0.0;0.11;Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;15 Jul 2025;31 Oct 2025;117;Q3;0.11;Target CPM;65+ | All;JGL;YouTube In-Stream;Jul-Oct 25;tCPM;Awareness;JGL | YouTube In-Stream | 65+ | All | Jul-Oct 25 | tCPM | Awareness
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;McDonald's EUR;23051723493;442,201;532;0.12%;3.39;2.82;296,093;0.01;1500.11;122.83;0.04%;12.21;1500.11;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;29 Sept 2025;31 Oct 2025;263848;Q3, Q4;1500.11;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Sep-Oct 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Sep-Oct 25 | tCPV | Consideration
McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper;McDonald's EUR;22892098685;2,820,290;1,547;0.05%;0.71;1.29;22,376;0.02;2000.31;244.93;0.89%;8.17;2000.31;Bumper, In-feed;Croatia;1;True;21;Available;True;17;Available;11 Aug 2025;28 Sept 2025;1006286;Q3;2000.31;Target CPM;65+ | All;McDonald's;YouTube Bumper;Aug-Sep 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Aug-Sep 25 | tCPM | Awareness
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper;McDonald's EUR;23062023277;1,164,476;363;0.03%;0.59;1.91;12,161;0.03;691.67;85.33;0.58%;8.11;691.67;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;29 Sept 2025;19 Oct 2025;511777;Q3, Q4;691.67;Target CPM;65+ | All;McDonald's;YouTube Bumper;Sep-Oct 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Sep-Oct 25 | tCPM | Awareness
Zott Protein Sep - Oct 2025 (DN) - CPM;Zott EUR;23008688608;5,704,286;3,991;0.07%;0.35;0.5;0;0.0;1999.95;0;0.00%;0.0;1999.95;Non-YouTube Format;Croatia;1;True;21;Available;True;10;Available;10 Sept 2025;16 Nov 2025;734093;Q3, Q4;1999.95;Viewable CPM;65+ | All;Zott;Other;Sep-Nov 25;vCPM;Awareness;Zott | Other | 65+ | All | Sep-Nov 25 | vCPM | Awareness
McDonald's Opusteno Dopusteno II August 2025 (YT) - Bumper;McDonald's EUR;22895981650;2,026,392;1,409;0.07%;0.74;1.06;12,415;0.01;1500.05;38.64;0.24%;38.82;1500.05;Bumper, In-feed;Croatia;1;True;21;Available;True;21;Available;11 Aug 2025;31 Aug 2025;975358;Q3;1500.05;Target CPM;65+ | All;McDonald's;YouTube Bumper;Aug 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Aug 25 | tCPM | Awareness
McDonald's McCrispy AO May-Jun 2025 (YT) - Bumper;McDonald's EUR;22600899041;2,989,442;1,718;0.06%;0.67;1.16;11,561;0.02;2000.03;694.87;4.43%;2.88;2000.03;Bumper, In-feed;Croatia;1;True;21;Available;True;17;Available;26 May 2025;29 Jun 2025;1036851;Q2;2000.03;Target CPM;65+ | All;McDonald's;YouTube Bumper;May-Jun 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | May-Jun 25 | tCPM | Awareness
McDonald's Employer Image IV - Young Adults - Nov - Dec 2025 (VVC) - CPV;McDonald's EUR;23280469343;1,082,076;2,817;0.26%;4.16;1.6;376,261;0.01;4499.23;1,538.12;0.33%;2.93;4499.23;Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;6;Available;24 Nov 2025;14 Dec 2025;319782;Q4;4499.23;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Nov-Dec 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Nov-Dec 25 | tCPV | Consideration
Dr. Oetker Turisti Jul - Aug 2025 (DN) - CPC;Dr.Oetker EUR;22774059526;2,537,317;57,876;2.28%;0.95;0.04;0;0.0;2416.27;0;0.00%;0.0;2416.27;Non-YouTube Format;Croatia;1;True;21;Available;True;12;Available;9 Jul 2025;31 Aug 2025;684248;Q3;2416.27;Maximise clicks;65+ | All;Dr.Oetker EUR;Other;Jul-Aug 25;MaxClicks;Consideration;Dr.Oetker EUR | Other | 65+ | All | Jul-Aug 25 | MaxClicks | Consideration
Dr. Oetker Easter Apr 2025 (YT) - Reach Mix - CPM;Dr.Oetker EUR;22378998132;800,942;1,234;0.15%;1.26;0.82;46,911;0.01;1011.59;0;0.00%;0.0;1011.59;Bumper, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;11;Available;28 Mar 2025;20 Apr 2025;329977;Q1, Q2;1011.59;Target CPM;65+ | All;Dr.Oetker EUR;YouTube In-Stream;Mar-Apr 25;tCPM;Awareness;Dr.Oetker EUR | YouTube In-Stream | 65+ | All | Mar-Apr 25 | tCPM | Awareness
LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA;Barilla_Grancereale_YouTube_EUR_OMDHR;22222166343;2,536,696;1,308;0.05%;1.58;3.06;1,011,350;0.0;4000.55;0;0.00%;0.0;4000.55;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;8;Available;17 Feb 2025;31 May 2025;510896;Q1, Q2;4000.55;Target CPV;65+ | All;Barilla;YouTube In-Stream;Feb-May 25;tCPV;Consideration;Barilla | YouTube In-Stream | 65+ | All | Feb-May 25 | tCPV | Consideration
LOC_HRV_HR_MUL_BAIO_NA_Baiocchi_PR_NA_2025-03-15_2025-04-15_NA;Barilla_Mulino Bianco_Youtube_EUR_OMDHR;22339069891;3,758,450;3,534;0.09%;1.99;2.12;2,070,190;0.0;7497.81;0;0.00%;0.0;7497.81;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;15 Mar 2025;15 Apr 2025;659350;Q1, Q2;7497.81;Target CPV;65+ | All;Barilla;YouTube In-Stream;Mar-Apr 25;tCPV;Consideration;Barilla | YouTube In-Stream | 65+ | All | Mar-Apr 25 | tCPV | Consideration
Dr. Oetker Božićna kampanja Nov - Dec 2025 (DN) - CPC;Dr.Oetker EUR;23304217154;1,656,549;34,164;2.06%;1.08;0.05;0;0.0;1795.45;0;0.00%;0.0;1795.45;Non-YouTube Format;Croatia;1;True;21;Available;True;24;Available;26 Nov 2025;24 Dec 2025;422195;Q4;1795.45;Maximise clicks;65+ | All;Dr.Oetker EUR;Other;Nov-Dec 25;MaxClicks;Consideration;Dr.Oetker EUR | Other | 65+ | All | Nov-Dec 25 | MaxClicks | Consideration
Hervis Poklon Kartice December 2025 - (DN) - CPM;Hervis Croatia EUR;23357588354;5,664,597;4,622;0.08%;0.27;0.33;0;0.0;1533.87;0;0.00%;0.0;1533.87;Non-YouTube Format;Croatia;1;True;21;Available;True;12;Available;12 Dec 2025;24 Dec 2025;918123;Q4;1533.87;Viewable CPM;65+ | All;Hervis Croatia EUR;Other;Dec 25;vCPM;Awareness;Hervis Croatia EUR | Other | 65+ | All | Dec 25 | vCPM | Awareness
Dr. Oetker Ristorante Feliciana Feb 2025 (YT) - Reach Mix - CPM;Dr.Oetker EUR;22200112980;1,546,935;1,078;0.07%;0.7;1.0;13,342;0.02;1077.22;0;0.00%;0.0;1077.22;Bumper, In-feed, Shorts;Croatia;1;True;21;Available;True;11;Available;7 Feb 2025;28 Feb 2025;570691;Q1;1077.22;Target CPM;65+ | All;Dr.Oetker EUR;YouTube Bumper;Feb 25;tCPM;Awareness;Dr.Oetker EUR | YouTube Bumper | 65+ | All | Feb 25 | tCPM | Awareness
Dr. Oetker Bread Club October 2025 (DN) - CPC;Dr.Oetker EUR;23084507224;845,617;21,333;2.52%;1.07;0.04;0;0.0;906.29;0;0.00%;0.0;906.29;Non-YouTube Format;Croatia;1;True;21;Available;True;12;Available;6 Oct 2025;31 Oct 2025;229326;Q4;906.29;Maximise clicks;65+ | All;Dr.Oetker EUR;Other;Oct 25;MaxClicks;Consideration;Dr.Oetker EUR | Other | 65+ | All | Oct 25 | MaxClicks | Consideration
Dr. Oetker Easter Apr 2025 (YT) - CPV;Dr.Oetker EUR;22408653275;1,072,186;2,383;0.22%;2.6;1.17;587,271;0.0;2787.24;0;0.00%;0.0;2787.24;Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;8;Available;4 Apr 2025;20 Apr 2025;444527;Q2;2787.24;Target CPV;65+ | All;Dr.Oetker EUR;YouTube In-Stream;Apr 25;tCPV;Consideration;Dr.Oetker EUR | YouTube In-Stream | 65+ | All | Apr 25 | tCPV | Consideration
LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA;Barilla_Grancereale_YouTube_EUR_OMDHR;22286693225;2,043,328;1,337;0.07%;1.96;2.99;1,186,594;0.0;4000.02;0;0.00%;0.0;4000.02;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;8;Available;27 Feb 2025;31 Mar 2025;541865;Q1;4000.02;Target CPV;65+ | All;Barilla;YouTube In-Stream;Feb-Mar 25;tCPV;Consideration;Barilla | YouTube In-Stream | 65+ | All | Feb-Mar 25 | tCPV | Consideration
PMAX_OMD_RS-SR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;Philips Serbia DAN;22857655199;405,170;38,487;9.50%;15.26;0.16;22,800;0.0;6182.76;4,355.24;7.04%;1.42;2.41;Non-YouTube Format;Austria, Belgium, Bosnia and Herzegovina, Bulgaria, China, Croatia, Cyprus, Czechia, Denmark, France, Germany, Ghana, Greece, Hungary, Ireland, Italy, Kosovo, Lebanon, Malta, Montenegro, Netherlands, Nigeria, North Macedonia, Norway, Poland, Portugal, Qatar, Romania, Saudi Arabia, Serbia, Slovakia, Slovenia, Spain, Switzerland, Turkiye, United Arab Emirates, United States, Uzbekistan;38;False;0;Automatic / PMax;False;0;Automatic / PMax;2 Aug 2025;31 Dec 2025;0;Q3, Q4;6182.76;Maximise Conversions;Auto | All;Philips;PMax;Aug-Dec 25;MaxConv;Action;Philips | PMax | Auto | All | Aug-Dec 25 | MaxConv | Action
LOC_HRV_HR_MUL_PANB_NA_Pan-Bauletto_PR_NA_2025-02-15_2025-03-15_NA;Barilla_Mulino Bianco_Youtube_EUR_OMDHR;22241443084;3,407,382;3,520;0.10%;1.76;1.7;1,753,775;0.0;5998.85;0;0.00%;0.0;5998.85;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;8;Available;15 Feb 2025;15 Mar 2025;883904;Q1;5998.85;Target CPV;65+ | All;Barilla;YouTube In-Stream;Feb-Mar 25;tCPV;Consideration;Barilla | YouTube In-Stream | 65+ | All | Feb-Mar 25 | tCPV | Consideration
Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;Dr.Oetker EUR;23304217610;1,769,176;1,640;0.09%;1.25;1.35;259,528;0.01;2209.21;0;0.00%;0.0;2209.21;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;11;Available;26 Nov 2025;24 Dec 2025;726345;Q4;2209.21;Target CPM;65+ | All;Dr.Oetker EUR;YouTube In-Stream;Nov-Dec 25;tCPM;Awareness;Dr.Oetker EUR | YouTube In-Stream | 65+ | All | Nov-Dec 25 | tCPM | Awareness
Dr. Oetker Baguette September 2025 (DN) - CPC;Dr.Oetker EUR;22987364054;1,006,304;25,442;2.53%;1.41;0.06;0;0.0;1422.38;0;0.00%;0.0;1422.38;Non-YouTube Format;Croatia;1;True;21;Available;True;9;Available;5 Sept 2025;30 Sept 2025;375230;Q3;1422.38;Maximise clicks;65+ | All;Dr.Oetker EUR;Other;Sep 25;MaxClicks;Consideration;Dr.Oetker EUR | Other | 65+ | All | Sep 25 | MaxClicks | Consideration
Dr. Oetker Doručkujmo zajedno Aug - Sep 2025 (DN) - CPC;Dr.Oetker EUR;22942585570;1,238,555;28,586;2.31%;1.15;0.05;0;0.0;1424.94;0;0.00%;0.0;1424.94;Non-YouTube Format;Croatia;1;True;21;Available;True;9;Available;26 Aug 2025;23 Sept 2025;427397;Q3;1424.94;Maximise clicks;65+ | All;Dr.Oetker EUR;Other;Aug-Sep 25;MaxClicks;Consideration;Dr.Oetker EUR | Other | 65+ | All | Aug-Sep 25 | MaxClicks | Consideration
Saponia Faks penta cups - Apr - Jun 2025 (YT) - CPM;Saponia;22434562305;2,569,718;911;0.04%;2.33;6.58;0;0.0;5995.7;0;0.00%;0.0;5995.7;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;15 Apr 2025;10 Jun 2025;850379;Q2;5995.7;Target CPM;65+ | All;Saponia;YouTube Non-Skip;Apr-Jun 25;tCPM;Awareness;Saponia | YouTube Non-Skip | 65+ | All | Apr-Jun 25 | tCPM | Awareness
Bison Bolton - October 2025 (DN) - CPM;BISON EUR;23073658040;1,597,458;1,160;0.07%;0.2;0.28;0;0.0;325.55;0;0.00%;0.0;325.55;Non-YouTube Format;Croatia;1;True;21;Available;True;23;Available;1 Oct 2025;31 Oct 2025;317169;Q4;325.55;Viewable CPM;65+ | All;BISON EUR;Other;Oct 25;vCPM;Awareness;BISON EUR | Other | 65+ | All | Oct 25 | vCPM | Awareness
Belupo Rinil - December 2025 - (YT) - CPM;Belupo;23368964821;1,431,519;1,841;0.13%;1.37;1.07;479,394;0.0;1968.15;0;0.00%;0.0;1968.15;Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;15 Dec 2025;31 Dec 2025;698957;Q4;1968.15;Target CPM;65+ | All;Belupo;YouTube In-Stream;Dec 25;tCPM;Awareness;Belupo | YouTube In-Stream | 65+ | All | Dec 25 | tCPM | Awareness
Saponia Faks Sve ti je čisto Nov 2025 (DN) - CPM;Saponia;23203387614;19,199,747;11,321;0.06%;0.29;0.49;0;0.0;5500.07;0;0.00%;0.0;5500.07;Non-YouTube Format;Croatia;1;True;21;Available;True;15;Available;1 Nov 2025;30 Nov 2025;1495232;Q4;5500.07;Viewable CPM;65+ | All;Saponia;Other;Nov 25;vCPM;Awareness;Saponia | Other | 65+ | All | Nov 25 | vCPM | Awareness
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;BISON EUR;22579539314;2,924,005;6,173;0.21%;1.54;0.73;0;0.0;4500.04;0;0.00%;0.0;4500.04;Bumper;Croatia;1;True;21;Available;True;12;Available;20 May 2025;30 Jun 2025;1045776;Q2;4500.04;Target CPM;65+ | All;BISON EUR;YouTube Bumper;May-Jun 25;tCPM;Awareness;BISON EUR | YouTube Bumper | 65+ | All | May-Jun 25 | tCPM | Awareness
Saponia Ornel Nagradna igra May - Jun 2025 (DN) - CPC;Saponia;22588501345;6,319,015;123,663;1.96%;1.25;0.06;0;0.0;7916.97;0;0.00%;0.0;7916.97;Non-YouTube Format;Croatia;1;True;21;Available;True;12;Available;21 May 2025;15 Jun 2025;948382;Q2;7916.97;Maximise clicks;65+ | All;Saponia;Other;May-Jun 25;MaxClicks;Consideration;Saponia | Other | 65+ | All | May-Jun 25 | MaxClicks | Consideration
Bison Bolton - October 2025 (YT) - Bumper;BISON EUR;23077707730;3,712,236;8,497;0.23%;2.29;1.0;30,003;0.04;8499.16;0;0.00%;0.0;8499.16;Bumper, In-feed, Shorts;Croatia;1;True;21;Available;True;8;Available;1 Oct 2025;31 Oct 2025;995313;Q4;8499.16;Target CPM;65+ | All;BISON EUR;YouTube Bumper;Oct 25;tCPM;Awareness;BISON EUR | YouTube Bumper | 65+ | All | Oct 25 | tCPM | Awareness
Saponia Ornel CRO Feb 2025 (DN) - CPM;Saponia;22262517732;1,165,318;1,085;0.09%;0.26;0.28;0;0.0;300.0;0;0.00%;0.0;300.0;Non-YouTube Format;Croatia;1;True;21;Available;True;1;Available;21 Feb 2025;25 Feb 2025;205817;Q1;300.0;Viewable CPM;65+ | All;Saponia;Other;Feb 25;vCPM;Awareness;Saponia | Other | 65+ | All | Feb 25 | vCPM | Awareness
BoxNow May - Jun 2025 (YT) - Reach Mix - CPM;BoxNow;22585304100;4,663,494;4,999;0.11%;1.07;1.0;224,475;0.01;4999.21;0;0.00%;0.0;4999.21;Bumper, In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;26 May 2025;15 Jun 2025;1337118;Q2;4999.21;Target CPM;65+ | All;BoxNow;YouTube In-Stream;May-Jun 25;tCPM;Awareness;BoxNow | YouTube In-Stream | 65+ | All | May-Jun 25 | tCPM | Awareness
Saponia Ornel CRO Apr 2025 (DN) - CPM;Saponia;22448486639;1,828,361;1,307;0.07%;0.27;0.38;0;0.0;499.9;0;0.00%;0.0;499.9;Non-YouTube Format;Croatia;1;True;21;Available;True;1;Available;16 Apr 2025;22 Apr 2025;343588;Q2;499.9;Viewable CPM;65+ | All;Saponia;Other;Apr 25;vCPM;Awareness;Saponia | Other | 65+ | All | Apr 25 | vCPM | Awareness
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;Saponia;23365245812;675,114;11,847;1.75%;0.59;0.03;0;0.0;399.22;0;0.00%;0.0;399.22;Non-YouTube Format;Croatia;1;True;21;Available;True;76;Available;15 Dec 2025;20 Dec 2025;267879;Q4;399.22;Target CPC;65+ | All;Saponia;Demand Gen;Dec 25;Target CPC;Consideration;Saponia | Demand Gen | 65+ | All | Dec 25 | Target CPC | Consideration
Bison Bolton - October 2025 (DN) - CPM #2;BISON EUR;23141866481;7,638,129;5,529;0.07%;0.28;0.39;0;0.0;2174.34;0;0.00%;0.0;2174.34;Non-YouTube Format;Croatia;1;True;21;Available;True;23;Available;16 Oct 2025;31 Oct 2025;730317;Q4;2174.34;Viewable CPM;65+ | All;BISON EUR;Other;Oct 25;vCPM;Awareness;BISON EUR | Other | 65+ | All | Oct 25 | vCPM | Awareness
Pipi Jun - Aug 2025 (DN) - CPM;Pipi;22765720285;9,661,090;9,991;0.10%;0.21;0.2;0;0.0;2000.01;0;0.00%;0.0;2000.01;Non-YouTube Format;Croatia;1;True;21;Available;True;1;Available;7 Jul 2025;31 Aug 2025;1207028;Q3;2000.01;Viewable CPM;65+ | All;Pipi;Other;Jul-Aug 25;vCPM;Awareness;Pipi | Other | 65+ | All | Jul-Aug 25 | vCPM | Awareness
Saponia Nila May 2025 (YT) - CPM;Saponia;22500191490;2,264,798;2,978;0.13%;1.55;1.18;329,466;0.01;3500.04;0;0.00%;0.0;3500.04;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;2 May 2025;31 May 2025;841409;Q2;3500.04;Target CPM;65+ | All;Saponia;YouTube In-Stream;May 25;tCPM;Awareness;Saponia | YouTube In-Stream | 65+ | All | May 25 | tCPM | Awareness
Saponia Likvi CRO Apr - May 2025 (YT) - CPM;Saponia;22396650401;6,465,588;10,697;0.17%;1.54;0.93;1,474,872;0.01;9973.76;0;0.00%;0.0;9973.76;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;9;Available;1 Apr 2025;31 May 2025;1278135;Q2;9973.76;Target CPM;65+ | All;Saponia;YouTube In-Stream;Apr-May 25;tCPM;Awareness;Saponia | YouTube In-Stream | 65+ | All | Apr-May 25 | tCPM | Awareness
Bison AirMax November 2025 (DN) - CPM;BISON EUR;23224382309;10,952,451;7,505;0.07%;0.27;0.4;0;0.0;3000.01;0;0.00%;0.0;3000.01;Non-YouTube Format;Croatia;1;True;21;Available;True;21;Available;4 Nov 2025;30 Nov 2025;1250330;Q4;3000.01;Viewable CPM;65+ | All;BISON EUR;Other;Nov 25;vCPM;Awareness;BISON EUR | Other | 65+ | All | Nov 25 | vCPM | Awareness
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;Saponia;23365196615;661,234;9,851;1.49%;0.89;0.06;0;0.0;588.31;0;0.00%;0.0;588.31;Non-YouTube Format;Croatia;1;True;21;Available;True;51;Available;15 Dec 2025;20 Dec 2025;259972;Q4;588.31;Maximise clicks;65+ | All;Saponia;Display;Dec 25;MaxClicks;Consideration;Saponia | Display | 65+ | All | Dec 25 | MaxClicks | Consideration
Bison AirMax November 2025 (YT) - CPM;BISON EUR;23219213253;2,749,970;4,192;0.15%;2.36;1.55;617,473;0.01;6498.82;0;0.00%;0.0;6498.82;Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;4 Nov 2025;30 Nov 2025;1087243;Q4;6498.82;Target CPM;65+ | All;BISON EUR;YouTube In-Stream;Nov 25;tCPM;Awareness;BISON EUR | YouTube In-Stream | 65+ | All | Nov 25 | tCPM | Awareness
Saponia Ornel + Kaufland May 2025 (DN) - CPM;Saponia;22559665570;1,732,190;1,113;0.06%;0.29;0.45;0;0.0;499.72;0;0.00%;0.0;499.72;Non-YouTube Format;Croatia;1;True;21;Available;True;10;Available;14 May 2025;20 May 2025;331168;Q2;499.72;Viewable CPM;65+ | All;Kaufland;Other;May 25;vCPM;Awareness;Kaufland | Other | 65+ | All | May 25 | vCPM | Awareness
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;BIC;22697168561;3,549,657;4,658;0.13%;1.07;0.82;21,390;0.06;3800.51;0;0.00%;0.0;3800.51;Bumper, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;20 Jun 2025;15 Aug 2025;865914;Q2, Q3;3800.51;Target CPM;65+ | All;BIC;YouTube In-Stream;Jun-Aug 25;tCPM;Awareness;BIC | YouTube In-Stream | 65+ | All | Jun-Aug 25 | tCPM | Awareness
Škoda Gume Oct - Dec 2025 (PMAX) - CPA;Porsche Škoda 2023;23156041838;744,022;14,365;1.93%;3.72;0.19;540;0.06;2764.82;3,312.51;20.09%;0.83;2764.82;Non-YouTube Format;Croatia;1;False;0;Automatic / PMax;False;0;Automatic / PMax;20 Oct 2025;7 Dec 2025;0;Q4;2764.82;Maximise Conversions;Auto | All;Porsche;PMax;Oct-Dec 25;MaxConv;Action;Porsche | PMax | Auto | All | Oct-Dec 25 | MaxConv | Action
Volkswagen PHEV Jun-Aug 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;22719192229;10,829,245;143,701;1.33%;0.27;0.02;0;0.0;2942.2;13,710.97;9.54%;0.21;2942.2;Non-YouTube Format;Croatia;1;True;21;Available;True;25;Available;26 Jun 2025;31 Aug 2025;908702;Q2, Q3;2942.2;Maximise clicks;65+ | All;Porsche;Demand Gen;Jun-Aug 25;MaxClicks;Consideration;Porsche | Demand Gen | 65+ | All | Jun-Aug 25 | MaxClicks | Consideration
Škoda 130 godina Nov - Dec 2025 (YT) Efficient reach - CPM;Porsche Škoda 2023;23236016321;3,561,582;2,756;0.08%;1.19;1.54;664,318;0.01;4244.6;902.41;0.11%;4.7;4244.6;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;25;Available;7 Nov 2025;7 Dec 2025;1029381;Q4;4244.6;Target CPM;65+ | All;Porsche;YouTube In-Stream;Nov-Dec 25;tCPM;Awareness;Porsche | YouTube In-Stream | 65+ | All | Nov-Dec 25 | tCPM | Awareness
